age,payment_method
41,Cash
45,Credit Card
41,Cash
58,Credit Card
34,Debit Card
67,Cash
60,Credit Card
31,Cash
52,Cash
25,Credit Card
22,Cash
34,Credit Card
30,Cash
25,Credit Card
48,Cash
30,Debit Card
30,Cash
36,Cash
52,Credit Card
33,Cash
69,Cash
46,Cash
65,Debit Card
27,Cash
42,Cash
56,Credit Card
68,Credit Card
64,Credit Card
59,Debit Card
68,Credit Card
25,Cash
40,Credit Card
18,Debit Card
56,Cash
36,Cash
30,Credit Card
52,Debit Card
24,Debit Card
30,Cash
45,Cash
29,Cash
24,Debit Card
46,Cash
65,Cash
26,Credit Card
58,Cash
45,Cash
43,Debit Card
25,Debit Card
53,Credit Card
63,Debit Card
37,Credit Card
68,Debit Card
67,Cash
29,Cash
55,Cash
30,Debit Card
57,Cash
33,Debit Card
54,Cash
66,Credit Card
56,Debit Card
30,Credit Card
19,Cash
22,Cash
29,Debit Card
44,Cash
38,Credit Card
32,Cash
58,Credit Card
55,Cash
64,Credit Card
45,Credit Card
65,Credit Card
54,Debit Card
58,Cash
40,Debit Card
24,Debit Card
60,Debit Card
60,Cash
66,Credit Card
59,Cash
69,Credit Card
47,Credit Card
39,Cash
54,Cash
67,Cash
30,Cash
27,Credit Card
52,Cash
57,Cash
52,Credit Card
20,Cash
52,Credit Card
67,Debit Card
20,Cash
64,Cash
20,Debit Card
60,Cash
36,Credit Card
29,Credit Card
45,Cash
18,Cash
54,Debit Card
45,Cash
59,Cash
49,Cash
61,Cash
28,Credit Card
36,Cash
69,Cash
27,Cash
30,Credit Card
67,Debit Card
66,Credit Card
52,Cash
69,Credit Card
63,Debit Card
20,Credit Card
23,Cash
47,Cash
43,Cash
55,Cash
25,Credit Card
62,Cash
23,Cash
48,Credit Card
64,Cash
50,Credit Card
42,Cash
43,Cash
25,Credit Card
66,Debit Card
41,Cash
37,Cash
43,Credit Card
19,Credit Card
64,Credit Card
39,Debit Card
21,Credit Card
51,Cash
67,Cash
54,Debit Card
21,Cash
29,Debit Card
32,Debit Card
55,Credit Card
24,Cash
37,Credit Card
53,Credit Card
43,Debit Card
39,Credit Card
37,Debit Card
58,Cash
28,Credit Card
45,Credit Card
21,Cash
39,Cash
23,Debit Card
41,Credit Card
26,Credit Card
51,Debit Card
49,Cash
45,Cash
33,Cash
53,Cash
32,Credit Card
40,Cash
60,Debit Card
37,Cash
56,Debit Card
55,Credit Card
68,Debit Card
54,Credit Card
56,Credit Card
27,Cash
41,Debit Card
59,Credit Card
62,Credit Card
32,Credit Card
47,Debit Card
42,Cash
33,Cash
66,Credit Card
55,Cash
24,Credit Card
64,Debit Card
27,Debit Card
62,Credit Card
68,Debit Card
62,Credit Card
36,Cash
64,Credit Card
22,Cash
26,Debit Card
37,Cash
47,Credit Card
40,Credit Card
58,Debit Card
32,Cash
36,Credit Card
56,Debit Card
41,Credit Card
34,Debit Card
37,Credit Card
55,Credit Card
25,Cash
50,Cash
66,Cash
52,Cash
24,Debit Card
52,Debit Card
43,Cash
41,Cash
28,Credit Card
31,Cash
41,Credit Card
21,Cash
45,Credit Card
41,Cash
42,Cash
50,Credit Card
42,Cash
25,Credit Card
39,Debit Card
23,Cash
67,Debit Card
42,Credit Card
63,Credit Card
53,Credit Card
32,Debit Card
43,Debit Card
22,Credit Card
30,Debit Card
20,Cash
40,Credit Card
61,Credit Card
44,Cash
55,Cash
54,Credit Card
23,Cash
61,Cash
37,Cash
43,Cash
33,Cash
18,Cash
30,Debit Card
68,Debit Card
34,Debit Card
34,Credit Card
59,Debit Card
22,Debit Card
30,Debit Card
50,Debit Card
68,Cash
49,Cash
38,Credit Card
51,Debit Card
44,Credit Card
64,Cash
31,Credit Card
34,Debit Card
40,Debit Card
58,Credit Card
56,Cash
57,Cash
38,Credit Card
55,Debit Card
23,Credit Card
66,Cash
27,Credit Card
58,Credit Card
32,Credit Card
57,Debit Card
43,Debit Card
56,Cash
40,Debit Card
60,Cash
41,Debit Card
41,Credit Card
54,Cash
42,Debit Card
56,Cash
32,Credit Card
59,Cash
50,Cash
23,Credit Card
50,Credit Card
55,Credit Card
62,Debit Card
32,Debit Card
37,Debit Card
63,Cash
18,Credit Card
22,Cash
51,Cash
52,Cash
30,Cash
32,Cash
46,Cash
31,Cash
30,Cash
24,Cash
25,Cash
25,Cash
31,Cash
54,Credit Card
57,Debit Card
25,Credit Card
44,Cash
43,Cash
18,Debit Card
57,Cash
25,Credit Card
50,Cash
49,Debit Card
21,Cash
38,Debit Card
65,Cash
32,Credit Card
47,Credit Card
53,Credit Card
34,Debit Card
61,Cash
19,Credit Card
61,Cash
33,Cash
53,Cash
68,Cash
37,Cash
69,Credit Card
40,Cash
67,Cash
22,Credit Card
34,Debit Card
34,Cash
56,Cash
26,Credit Card
69,Credit Card
67,Cash
61,Credit Card
26,Cash
63,Cash
51,Credit Card
60,Credit Card
26,Debit Card
34,Credit Card
25,Cash
49,Debit Card
69,Cash
66,Cash
23,Cash
18,Debit Card
24,Debit Card
39,Cash
50,Credit Card
52,Credit Card
56,Cash
41,Debit Card
21,Debit Card
42,Cash
50,Credit Card
53,Cash
32,Credit Card
60,Debit Card
34,Credit Card
24,Credit Card
44,Cash
32,Debit Card
42,Cash
23,Credit Card
33,Cash
64,Cash
69,Cash
30,Debit Card
66,Cash
68,Cash
48,Cash
52,Cash
39,Cash
29,Credit Card
48,Cash
50,Credit Card
28,Cash
64,Credit Card
36,Debit Card
64,Cash
54,Credit Card
31,Cash
49,Cash
51,Credit Card
37,Cash
52,Credit Card
64,Cash
65,Credit Card
53,Cash
30,Cash
52,Debit Card
32,Credit Card
40,Credit Card
53,Debit Card
39,Credit Card
56,Credit Card
19,Credit Card
19,Debit Card
67,Credit Card
59,Debit Card
63,Credit Card
68,Debit Card
23,Credit Card
47,Credit Card
25,Cash
22,Credit Card
60,Cash
38,Debit Card
59,Credit Card
20,Credit Card
62,Credit Card
56,Debit Card
41,Debit Card
39,Credit Card
47,Credit Card
55,Debit Card
30,Credit Card
34,Debit Card
53,Cash
24,Cash
61,Cash
32,Debit Card
51,Debit Card
55,Credit Card
49,Debit Card
26,Credit Card
56,Credit Card
60,Cash
43,Cash
69,Cash
49,Cash
55,Cash
63,Debit Card
36,Debit Card
28,Credit Card
45,Credit Card
67,Cash
46,Cash
59,Debit Card
65,Cash
34,Credit Card
68,Debit Card
50,Debit Card
30,Cash
35,Debit Card
54,Debit Card
20,Cash
58,Credit Card
31,Cash
29,Cash
47,Cash
18,Cash
20,Credit Card
50,Debit Card
47,Cash
48,Credit Card
35,Credit Card
50,Credit Card
41,Cash
27,Credit Card
64,Credit Card
42,Debit Card
22,Credit Card
64,Cash
59,Debit Card
53,Debit Card
29,Credit Card
30,Credit Card
50,Cash
42,Credit Card
23,Cash
41,Cash
29,Debit Card
59,Debit Card
34,Debit Card
22,Cash
34,Cash
69,Credit Card
61,Cash
44,Cash
64,Cash
40,Cash
58,Cash
23,Credit Card
36,Cash
64,Cash
60,Cash
39,Debit Card
65,Debit Card
66,Debit Card
52,Cash
33,Cash
63,Debit Card
23,Cash
27,Debit Card
22,Credit Card
23,Debit Card
38,Cash
57,Cash
21,Cash
33,Cash
34,Credit Card
69,Credit Card
66,Credit Card
46,Cash
36,Credit Card
64,Debit Card
53,Cash
66,Credit Card
19,Credit Card
55,Cash
50,Credit Card
39,Credit Card
64,Credit Card
22,Debit Card
49,Debit Card
45,Credit Card
52,Cash
42,Cash
55,Cash
63,Cash
32,Credit Card
49,Cash
24,Cash
37,Cash
41,Cash
39,Debit Card
19,Debit Card
59,Cash
68,Debit Card
52,Credit Card
60,Cash
39,Credit Card
26,Cash
33,Credit Card
57,Credit Card
52,Credit Card
26,Cash
63,Credit Card
33,Debit Card
55,Cash
26,Cash
67,Cash
64,Credit Card
18,Credit Card
57,Cash
40,Credit Card
46,Credit Card
21,Credit Card
48,Debit Card
24,Credit Card
69,Cash
45,Credit Card
59,Cash
43,Credit Card
47,Cash
33,Cash
69,Cash
57,Cash
46,Credit Card
48,Credit Card
30,Debit Card
18,Cash
49,Credit Card
43,Debit Card
34,Cash
39,Credit Card
20,Debit Card
68,Credit Card
49,Credit Card
58,Cash
26,Cash
24,Cash
61,Cash
42,Credit Card
64,Cash
30,Credit Card
69,Cash
38,Credit Card
30,Credit Card
18,Credit Card
58,Cash
35,Cash
31,Cash
26,Cash
22,Credit Card
28,Credit Card
29,Cash
38,Credit Card
51,Debit Card
55,Debit Card
47,Cash
68,Credit Card
57,Cash
30,Cash
53,Credit Card
67,Cash
27,Credit Card
63,Cash
35,Credit Card
62,Debit Card
20,Cash
34,Credit Card
56,Credit Card
22,Credit Card
61,Cash
54,Credit Card
63,Credit Card
25,Cash
47,Credit Card
44,Cash
54,Cash
62,Debit Card
48,Cash
58,Cash
31,Cash
53,Debit Card
55,Cash
46,Cash
20,Credit Card
58,Credit Card
49,Cash
63,Cash
42,Credit Card
40,Credit Card
28,Credit Card
68,Credit Card
23,Cash
28,Credit Card
40,Credit Card
18,Credit Card
56,Credit Card
38,Cash
22,Credit Card
63,Credit Card
51,Credit Card
45,Debit Card
27,Cash
51,Credit Card
23,Credit Card
29,Credit Card
48,Credit Card
19,Credit Card
30,Credit Card
32,Credit Card
49,Cash
31,Debit Card
39,Cash
20,Debit Card
51,Cash
52,Cash
60,Cash
21,Credit Card
28,Credit Card
58,Cash
49,Cash
41,Debit Card
36,Credit Card
29,Credit Card
41,Cash
42,Credit Card
41,Cash
21,Debit Card
29,Cash
21,Cash
38,Credit Card
44,Debit Card
40,Credit Card
26,Cash
23,Cash
69,Debit Card
39,Credit Card
61,Debit Card
18,Credit Card
40,Debit Card
38,Credit Card
28,Debit Card
66,Credit Card
43,Credit Card
22,Credit Card
41,Debit Card
37,Credit Card
24,Cash
66,Cash
39,Debit Card
26,Debit Card
66,Cash
22,Credit Card
60,Credit Card
28,Debit Card
36,Cash
51,Credit Card
29,Credit Card
58,Cash
68,Cash
58,Debit Card
26,Cash
49,Credit Card
41,Credit Card
49,Credit Card
28,Credit Card
21,Cash
69,Credit Card
22,Credit Card
26,Cash
43,Cash
47,Debit Card
67,Cash
48,Credit Card
42,Debit Card
21,Credit Card
43,Cash
39,Debit Card
64,Cash
53,Cash
34,Credit Card
68,Cash
61,Credit Card
64,Credit Card
46,Credit Card
55,Credit Card
33,Cash
40,Credit Card
22,Cash
21,Cash
57,Credit Card
29,Cash
68,Cash
20,Cash
64,Cash
18,Cash
47,Credit Card
27,Cash
34,Cash
39,Cash
69,Cash
48,Credit Card
37,Credit Card
18,Cash
38,Cash
40,Cash
18,Debit Card
19,Credit Card
43,Debit Card
27,Cash
27,Debit Card
25,Cash
60,Cash
22,Cash
67,Credit Card
33,Cash
55,Cash
49,Cash
27,Cash
23,Debit Card
60,Debit Card
21,Credit Card
32,Credit Card
42,Credit Card
30,Cash
36,Cash
26,Debit Card
31,Cash
25,Cash
59,Cash
61,Debit Card
42,Cash
64,Credit Card
29,Cash
32,Credit Card
60,Credit Card
53,Cash
31,Cash
28,Debit Card
34,Cash
34,Cash
47,Cash
47,Credit Card
49,Cash
54,Credit Card
68,Cash
21,Cash
32,Cash
56,Cash
47,Cash
45,Credit Card
58,Credit Card
69,Cash
51,Debit Card
35,Credit Card
61,Cash
19,Cash
37,Credit Card
30,Credit Card
48,Debit Card
26,Cash
49,Cash
62,Cash
31,Cash
65,Credit Card
59,Credit Card
25,Debit Card
56,Cash
31,Cash
19,Credit Card
55,Credit Card
67,Cash
22,Cash
54,Cash
51,Cash
51,Credit Card
19,Cash
43,Cash
55,Cash
21,Debit Card
40,Credit Card
52,Cash
26,Credit Card
58,Debit Card
59,Cash
19,Credit Card
39,Debit Card
19,Debit Card
65,Cash
20,Cash
31,Cash
51,Credit Card
38,Credit Card
58,Debit Card
44,Cash
61,Cash
64,Cash
69,Credit Card
26,Debit Card
64,Cash
19,Cash
22,Cash
68,Debit Card
46,Credit Card
40,Credit Card
59,Cash
18,Cash
58,Cash
46,Credit Card
42,Debit Card
62,Credit Card
24,Debit Card
18,Cash
56,Credit Card
59,Credit Card
63,Cash
32,Debit Card
59,Cash
30,Cash
32,Cash
38,Credit Card
47,Cash
35,Cash
35,Debit Card
45,Credit Card
46,Cash
49,Debit Card
69,Credit Card
33,Cash
41,Cash
52,Debit Card
38,Credit Card
52,Cash
55,Credit Card
60,Credit Card
26,Cash
57,Cash
63,Credit Card
28,Cash
59,Cash
64,Cash
67,Debit Card
56,Cash
65,Cash
24,Cash
43,Cash
28,Cash
37,Cash
18,Credit Card
63,Cash
37,Cash
46,Cash
18,Debit Card
36,Cash
20,Cash
66,Credit Card
34,Cash
31,Debit Card
59,Credit Card
24,Debit Card
39,Credit Card
58,Credit Card
37,Credit Card
39,Cash
46,Credit Card
40,Credit Card
22,Cash
48,Cash
51,Cash
38,Cash
45,Debit Card
35,Cash
62,Debit Card
34,Cash
36,Cash
23,Debit Card
37,Debit Card
53,Credit Card
27,Debit Card
22,Credit Card
46,Cash
38,Credit Card
34,Cash
55,Cash
22,Cash
26,Debit Card
37,Credit Card
61,Cash
67,Cash
69,Cash
27,Debit Card
26,Cash
30,Debit Card
69,Credit Card
39,Debit Card
43,Cash
38,Credit Card
36,Debit Card
61,Credit Card
56,Credit Card
58,Credit Card
66,Cash
38,Cash
64,Debit Card
64,Credit Card
21,Cash
45,Cash
31,Credit Card
37,Cash
31,Credit Card
63,Cash
26,Debit Card
46,Credit Card
31,Credit Card
60,Cash
23,Credit Card
59,Credit Card
44,Debit Card
54,Credit Card
55,Debit Card
50,Cash
36,Debit Card
33,Cash
18,Cash
54,Credit Card
46,Debit Card
38,Credit Card
39,Credit Card
36,Debit Card
53,Credit Card
50,Credit Card
64,Cash
44,Cash
42,Credit Card
67,Debit Card
46,Credit Card
47,Credit Card
50,Credit Card
39,Cash
31,Cash
28,Debit Card
68,Cash
55,Debit Card
58,Debit Card
49,Cash
57,Credit Card
52,Credit Card
28,Cash
47,Cash
46,Cash
38,Cash
47,Credit Card
23,Cash
38,Cash
48,Debit Card
48,Cash
50,Cash
59,Debit Card
31,Credit Card
27,Credit Card
35,Cash
44,Credit Card
47,Cash
20,Debit Card
43,Credit Card
68,Credit Card
52,Credit Card
39,Debit Card
29,Cash
58,Cash
53,Cash
64,Debit Card
24,Cash
65,Cash
23,Credit Card
60,Cash
69,Debit Card
18,Credit Card
51,Credit Card
37,Cash
59,Debit Card
24,Credit Card
49,Cash
43,Debit Card
53,Cash
29,Cash
67,Credit Card
41,Cash
50,Cash
58,Debit Card
26,Cash
56,Cash
56,Credit Card
55,Credit Card
68,Cash
59,Credit Card
33,Cash
62,Cash
61,Cash
39,Cash
35,Debit Card
48,Credit Card
54,Debit Card
18,Credit Card
43,Cash
34,Debit Card
29,Cash
50,Cash
37,Cash
34,Credit Card
37,Cash
37,Credit Card
20,Cash
25,Cash
26,Cash
61,Cash
50,Cash
39,Credit Card
21,Cash
38,Cash
56,Credit Card
50,Cash
67,Debit Card
22,Credit Card
62,Credit Card
68,Credit Card
64,Credit Card
19,Cash
30,Debit Card
35,Debit Card
51,Cash
23,Credit Card
18,Debit Card
18,Debit Card
29,Cash
48,Credit Card
63,Cash
26,Credit Card
25,Debit Card
38,Cash
23,Credit Card
69,Cash
33,Credit Card
54,Cash
42,Debit Card
55,Cash
51,Debit Card
54,Credit Card
35,Cash
57,Debit Card
41,Cash
66,Debit Card
44,Cash
32,Credit Card
36,Cash
38,Cash
32,Cash
25,Credit Card
60,Credit Card
68,Credit Card
67,Credit Card
67,Credit Card
67,Credit Card
39,Credit Card
58,Cash
57,Credit Card
64,Credit Card
31,Credit Card
26,Cash
63,Cash
68,Credit Card
42,Cash
31,Credit Card
19,Debit Card
37,Cash
19,Cash
42,Cash
30,Debit Card
22,Cash
27,Credit Card
23,Credit Card
38,Credit Card
64,Cash
54,Credit Card
21,Cash
61,Cash
43,Cash
69,Cash
60,Credit Card
39,Credit Card
46,Debit Card
61,Cash
42,Credit Card
32,Cash
41,Cash
42,Cash
25,Cash
68,Cash
19,Cash
65,Debit Card
60,Credit Card
32,Credit Card
48,Cash
21,Cash
56,Cash
21,Cash
36,Cash
49,Credit Card
42,Credit Card
37,Cash
44,Debit Card
46,Cash
36,Credit Card
26,Debit Card
54,Cash
53,Credit Card
35,Credit Card
30,Debit Card
69,Credit Card
65,Credit Card
50,Credit Card
32,Debit Card
43,Cash
40,Credit Card
69,Credit Card
64,Debit Card
66,Cash
69,Debit Card
27,Cash
19,Credit Card
67,Credit Card
52,Credit Card
28,Debit Card
38,Debit Card
27,Cash
68,Credit Card
40,Credit Card
40,Credit Card
57,Debit Card
22,Debit Card
60,Cash
18,Cash
60,Debit Card
48,Cash
42,Credit Card
56,Credit Card
44,Credit Card
68,Credit Card
60,Credit Card
56,Debit Card
39,Debit Card
35,Cash
60,Credit Card
48,Credit Card
23,Debit Card
54,Cash
31,Cash
57,Cash
40,Cash
49,Cash
57,Debit Card
31,Debit Card
47,Credit Card
50,Cash
30,Credit Card
36,Credit Card
29,Cash
31,Cash
56,Credit Card
37,Cash
46,Credit Card
56,Cash
49,Credit Card
25,Cash
29,Debit Card
47,Cash
65,Cash
59,Credit Card
23,Cash
60,Credit Card
58,Credit Card
68,Credit Card
41,Cash
63,Credit Card
22,Cash
62,Debit Card
49,Cash
38,Cash
49,Debit Card
60,Cash
19,Credit Card
28,Cash
